Original English,Translated AR
i will give you one advice,غادي نعطك نصيحة واحدة
dont forget her,ماننسيها
go stop talking non sense,واش تثرثر بلا حواس
i should answer her,غادي نجيبها
we go south,نمشي جنوبا
Get ready,كونو جاهزين
I think  of staying at home,فكّرت ببقائي في البيت
i thought that i will vote but i changed my mind,كانضن غادي نصوّت غادي غادي غيّرت رأيي
go with me to see,سيري معي لرؤيتي
it's half past 11,هادشي بزّاف بزّاف بزّاف باش بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
he is a scammer,هادشي هادشي
this spider is sticking on me,هذه العنكبوتة علّقت عليّ
I dare you to get clothes from roof,تحدّاك تا نا تا تا نا نا تا نا نا نا تا غادي من الدير
i fixed my sandals,ديّنت نعال ديال ديال ديال ديال ديال ديال ديال
leave home,بزّة بزّاف
she's baking cookies in the kitchen,هي تخبز بسكويت في المطبخ
we live in empty place,عشنا في مكان خال
Let me pay,خليني ندف
we dine with them,نتعشى معاهم
you can pity me now,واش تقدر تشفق عليّ الآن
did you open the book,واش فتحتي الكتاب
So what can I get you?,واش نجيبك؟
do you have...?,واش عندك؟
good bread,خبز جيّد
bold,راه بزّاف
you are making a false stomach,واش تاكلّف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
life without you is nothing,الحياة بلاك هادشي
 i opened the drawer,فتحت الباب
its too late,بزّاف بزّاف بزّاف
I think of going in motobike,فكّر باش نمشي بزّاف ديما ديك
i was playing with dog,كنت العب مع الكلب
Don't be so hard on yourself,ماتش تتكّوّد على نفسك
He can't find a job,هو مايقدرش يجد ديال عمل
nothing is easy,ماشي هادشي هادشي
can i put the plate on the table,واش نا غادي نديرو على طاولة
I'm waiting for you to improve your company,كنت بزّاف باش تحسّن شركتك
why you dont wanna get dressed,علاش مابغيتيش تلبسي
i will break your mood,غادي نكسر مزاجك
let me company you,خليني نرافقك
do you have a bigger size?,عندك مقاس أكبر؟
i do this for your own sake,أنا غادي نديرك هادشي من أجلك
Where are going to Europe?,واين نسافر الى اوروبا؟
he takes care of his grandma,كان يعتني بجدته
I didn't saw him when he was entering,مابقيت راه عند دخوله
he gave me extra two,واعطاني بزّاف بزّاف بزّاف
Have you tried to race me,عمرك جربتي تسابقني
its not good,راه غير جيّد
you should never stand in the way,مابغيتيش تقفي في الطريق
and what you shouldnt do,واش مابغيتي عليك فهاد
Keep it a secrect,حافظي عليه واش ديال
People always like that,ناس كاش ديال هادشي هادشي
Let me gaze ,خليني نتأمل
i thought that  he will ask his father for a favor,كان ليا غادي يطلب لوالده خدمة
"Visit them, so they can remove it for you. ",زوّروهم، كي يقدرو يزيلوه لك.
why people changed,علاش ناس تبدلو
Whisky?,واينسكي؟
she don't want divorce,مابغيتيش تطلاق
his work is below average,عمله أقل من المتوسط
he is american,راه ديال ديال ديال ديال ديال ديال
you should never jinx someone,مابغيتك تا غادي نحس شخص ما
i got loose,واش غادي نخلت
are you okay ?,هل أنت بخير؟
why you dont wanna connect,علاش مابغيتيش نتواصل
i'm shy to swim,أنا خجولة غادي نسبح
august,راه شوية
Would you like anything to eat with your coffee?,مابغيتيش تاكل مع قهوتك؟
i went to russia that year,ذهبت لروسيا تلك السنة
I wiped the dirt off my pants,مسحت الوساط من سروالي
women are perfect,هاد النسوة كاملات
no they didn't fill the gas bottle,واش ماكانو يملؤو قارورة الغاز
they gossip people,هادشي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
Let's invent something,خلينا نخترع شي حاجة
they have spotted me,راهوا ليا
I'm waiting for you to break your car,كانتسنّا فيك تحطّم سيارتك
i went toutside,غادي ندير
i left my life my job to take care of you,ترك ليا حياتي شغلي كي يعتني بك
They must be growing up fast,لا بدّ أنّهم يكبرون بزّاف
i dont lie,ماكانش ماتكونش
you are always happy,كنت دائما سعيدة
are you still here,واش باش مازالتي هنا
you are an angel,كنت ملاكا
he took all the accounts,راه كلّ الحسابات
i spent 500dh on two shirts,أنفقت 500 درهم على اثنين من القمصان
their children need them,ديالهم ديالهم ديالهم
she looks like she passed out,واش كاها غادي غادي
are you saying it now,واش تقولها ليا
you have nothing,ماعندك لاشي
which kind of event ,راه نوع من الأحداث
We don't need a college degree to change his behavior daily,مابغينا درجة جامعيّة نغيّر سلوكه يوميّا
his wife is too nice,زوجته لطيفة جدّا
go pay back your debts,غادي ديال ديال ديالك
I dare you to forget about it,تحداك تنسيها
where did she go,أين ذهبت؟
the night is long,الليل طويل
you are a worker,أنت عامل
i will bring you meat,أنا سَأَجْلبُك لحم
my aunt has a new baby,خالتي لديها طفل جديد
The washing machine is not working,الغسالة ماكانت تعمل
this boy better go,هاد الولد خير ليا هادشي
dont exagerrate,مابغيتيش بزّاف
We should go back home,يجب علينا العودة ديالنا
where you have traveled this summer,فين سافرتي هاد الصيف
did you succeed,واش نجحتي
too much uneducation,واش باش بزاف بزّاف بزّاف بزّاف بزافّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّافّ بزّاف بزّاف
buy she gave birth narutally,شريت ليها وولّدت ليا
Have you tried to forsake your right,عمرك جربتي باش تتخلّص من يمينك
he is sick,راه مريض
okey jump in the car,باش بزّاف في السيّارة
Why don't you want to stop yourself,علاش مابغيتيش تتوقّف
I presume you mean food,إفترضت بزّاف غادي غادي غادي غادي
Thank you for your precision.,شكرا على دقتك
you don't know what will happen,ماعلمتيشش مايحدث
gimme money or i take you to prison,غادي ندير واش نديرك في السجن
i weared a foqya,لبست فوكيا
you should never invent good thing,مابغيتيش تخترعي شي شي جيد
