Original Eng,tgt,src
I came in by car today to avoid the buses.,جبت بالطوموبيل اليوم باش نتفاد من الحافلات.,I got on the car this day and started working on the books.
her bad talk,تقرير ديالها الخايب,The report of the Dialha Al Khaib
the bed is comfy,الفراش كايكون مريح,The bed is like a dead man
I had thought it would all be bowls of watery soup and dry crackers!,كان كيسحاب ليا غادي يكونو كاملين كوبول ديال حسّا الماية و الكركيس جاف!,I wish I could have a full-fledged bowl of al-Shaa'a and the church jaff!
welcome,مرحبا بيكوم,"Hello, I am coming."
its god decision,راه قرار الله,By the way of Allah
what do you understand,أش كتفهم,Ah I understand
you lost you money and husband,خسرت ليك فلوس و راجلك,I lost your money and your king
this is a punishment,هادشي العقوبة,That's the punishment
he send money to his children,كايرسّل لولادهوم فلوسّ,I'm going to send money to my son
are you a morning or night person?,واش نتا ف الصباح ولا ف الليل؟,Do you wash in the morning or at night?
"Yes, I was able to have lunch",آه، قدرت نتغدا,"Ah, power to make a difference"
clothing handles,حوايج الحوايج,The warranty
leave that poor cat alone,خلي هاد الهمزية,Please keep this to yourself
we need to know everything,خاصنا نعرفو كلشي,We know each other.
where did she get out,فين خرجت,I'm out.
january,جنيوار,January
Are you really still scared after what you just said?,واش نتا مازال خايف من بعد هادشي لي قلتي؟,Have you been scared after all this?
if only i blocked him,كون غير قدرت ن حيدو,I can't live
you should never support him,عمرك تدعمو,Your age teaches him
go ont girl,سير بنت,Sir Bennet
the customer compared prices between different stores,العميل قارن ليا أسعار بين المحلات,The man has been a stranger to the neighborhood
Did you get my email?,واش وصلتي ليا إميل؟,Did you get an email?
don't forget about it,ماتنساهاش,Mother-in-law
How about a compromise?,أش بان ليك شي تنازل؟,Is there any reason for you to leave?
they are better able to dominate the others,راهو كايقدرو يسيرو على الآخرين,How can you control others?
what do you have today,أش عندك اليوم؟,Do you have a day?
I dont think i will have an heritage,مانضنش غادي نقدر نعاود ليه شي وحدة ديال لورث,I'm not sure we can return to one of his units
"This is my house, I bought it from my uncle ",هادي دار ديالي، شريتها من خلي,"Hadi Dar Diwali, she is from the Khale"
let me show you,خليني نشوفك,Let me see you.
april,شهر أبريل,April city
oh what is this,أوا شنو هادشي,Owa shono hadshi
"Come on, I'll hit you",أجي، أنا غادي نضربك,"Come, I'm going to shoot you"
I can't swim,ماعرفتش نعوم,I don't know how we got here.
It's normal to have a little stress in a volume as small as the elevator,راه طبيعي تكون شوية تنيش في واحد الكمية صغيرة بحال المصعد,It is natural to have one small amount restore the elevator
you lied to my face,كدبتي ف وجهي,I'm writing my book
As long as you don't try to feed it,ماكاديش تحاول ت إطعامها,Don't you try to feed her
You can see them from here,تقدر تشوفهم من هنا,You can meet them from here
I was doing only sport you lost a lot of weight,كنت كنقلب غير الرياضة خسيت بزاف,I used to be a non-sports man too much.
this striker is phenomenal,هاد المضربة مزيانة,This is a very good fight
how much i have,شحال عندي,How are you?
Can I just add something?,واش نقدر ن قدي شي حاجة؟,Can we do anything?
Have you tried to make up your clothes,عمرك جربتي تبرز حوايجي,You're trying to get me out of here
do you have school tomorrow,واش عندك المدرسة غدا,You're going to school tomorrow
days pass on,يامات كايجيو,You live your life
"Yeah, but it gets boring",آه، ولكن كايزيد,"Ah, but there's more"
how are things going,كيداير كيداير,I'm always here
I want to buy something,بغيت نشري شي حاجة,I want to show you something
do you have it in any other color?,واش عندك شي لون آخور؟,Have you got another loan?
take a pill,خدي شي حبوب,God bless you
you confused us,راه خليتي لينا,The way you are
She raised the child on her own.,راني بنت ولد بحدتها,Rani has only one son
the chef plated the dish with precision,شيف سدق ليا ديك الوجبة,Chef has come to give you the meal
without falling asleep early,بلا ما تنعس بكري,Without worrying
im happy and scared in the same time,أنا فرحان و خايف في نفس الوقت,I am happy and scared at the same time
he died and i stayed alive,مات و بقيت حيا,I'm dead and alive
why did you stop ,مالك ماعندكش,You have what you need
whats this proposal for,علاش هاد العرض,Alas has this good
i saw you just standing still,شفتك واقفة غير,I saw you and I didn't know you
we stayed two weeks like this,بقينا جوج سيمانات بحال هادا,We have to stay here for weeks to get back to this place
no one will save you,تا واحد ماغاديش يخلصك,Until the only one left to save you
it was dusty all i want is to clean it,كان غبارة وكلشي بغيت نخلّصو,It was a blast and all I wanted to get rid of
he went to old people care place,مشا ل شي بلاصة ديال العجوز,Go to the old man's place
as i enter the boss will give me my pay,ملي ندخل لبراري غادي يدي ليا ليا لير,I'll get in there and I'll be ready
I like raisins,كايعجبني الفاصاحة,I like the tourist
only you shut your mouth,غير نتا سد فمك,I never heard your face
i need new dress,خاصني حوايج جداد,Especially my grandfather
I'm just kidding,أنا غير كانضرب,I am not a prisoner
is it hot?,واش سخون؟,Was she still here?
its not your problem,ماشي مشكل ديالك,I'm not your problem
I was liying to all,كان كادب على كلشي,He was writing on everything
he scored,سدّق,Right
my stomaches will burst,المعدات ديالي غايفجر,The daylight is gone
