Original Eng,Translated AR
a light dessert sounds like a good idea,واحد ديسير خفيف كايبان فكرة زوينة
I don't want it,ماكنتش باغي
its better leave this place,خير ماتخري من هنا
you should never be shocked,عمرك ت تصدّق
i dont know what she will put,ماعرفتش شنو غادي تلبس
whats your name sir,أش سميتك سيدي
let me go,خليني نمشي
i am on a business trip,أنا ف رحلة ديال خدمة
really,بزّاف
its all good,هادشي مزيان
i will sue you,أنا غادي نقاضيك
"Please, I'll give it to you","عفاك, غادي نعاود ليك"
I dont think  he will win the cup,مانضنش غادي يربح ليك كاس
We can schedule basic stuff like chips,نقدرو نقدر نحدّدو شي حاجة أساسية بحال شيبس
tell me where is the problem,ڭوليا فين هادي المشكلة
 you are too late to stope none sense,تعطلي بزّاف باش توقف هادشي لي ماعندك
do you know nothing about him,واش نتا ماعرفي فيه والو
where 3aml,فين 3aml
I dont think he will bring money,مانضنش غادي يجيب ليا فلوس
I am learning frensh,أنا كانعلم الفرنسية
I dare you to fix this cake,نتحداك ت قدي داك الكيك
I'm waiting for you to wait for me,كانتسنّا فيك تّسنّا عليا
Let me keep quiet,خليني نخرس
I need to sign some paper,خاصني نوقع شي ورقة
Let me lean,خليني نستعرض
i gave him money to clean my phone,عطيتو فلوس باش يخلّس ليا تيليفون
i borrow a lot of money,أنا كايقرض بزاف ديال فلوس
"I'm not sure, but a big party with all my friends",مابقيتش متأكد، و لكن حفلة كبيرة مع كل صحابي
re looking for prison,كايقلب عليك على القبر
papers please,لوراق عفاك
mind your business,راك فالمشاكل ديالك
I'm waiting for you to become a beggar,كانتسنّا فيك ت تبقى ديك لفراري
Sit here,سيّد هنا
he is old enough to be her dad,راه كبير باش يديرها
Put salt vinegar and a large spoon of oil. ,خلي ليه خليف و لوكسي كبيرة ديال زيت
i have sun allergy,عندي حساسية من شمش
"I agree, I was lonely.","متافق, كنت وحيدة."
you are too late to start taking meds,تعطلي بزّاف باش تبدا تڭع دوا
why you dont wanna close the door,علاش مابغيتيش ت سدّ الباب
"If you're going to a party, I wouldn't advise you to cook",إيلا غاديتي لحفلة ماغاديش نصيحتك تخلّي
let me check on that,خليني نتفرج ف هادشي
I will change my glasses,أنا غادي نبدل نظارات
half an hour,نص ساعة
She married at an old age. ,تزوجت فاش كارت
i didnt have a clue,ماعنديش فكرة
Walk carefully,تمشّي ب الحضري
he needed to be under the sun,كان خاصو يكون تحت شمش
the house needs some cleaning,دار خاصة نقي
she is wearing white clothes,هي لابسة حوايج بيض
This is none of your business ,هادشي ماشي شأنك
i only deal with dollars,أنا كانعامل غير بالدوال
can he explain,واش لي كاتفسر
he is oppressing me,راه كايقمعني
my gf will come,راه جاية ليا
without hugging,بلا ما تعاطب
"That's sweet, but I prefer coffee",هادشي زوين، ولكن كنفضل القهوة
You don't want to confess,مابغيتيش تقتنع
I will getback to you,غانعاود ليك
I would love to travel there,بغيت نسافر ليك
I believe the new municipal team wants to promote exchange,أنا كاديني ليا لفرقة الجديدة ديال المدينة بغاتشجع على التبادل
 you are too late to invent,تعطلي بزّاف باش تختار
i will get tanned in the pool,أنا غادي نستحن فالبيسين
the book i'm reading is so intriguing,الكتاب لي كانقرا كايعجبني بزاف
why you dont wanna becomme rich,علاش مابغيتيش تسرع ليا
just wait for me,غير توقعني
"no, it is not dangerous","لا, ماشي خطر"
everyone want to get rich,كولشي بغاو يڭاع
you are too late to follow him,تعطلي بزّاف باش تبعّو
i will ask about his reputation,أنا غادي نسال على سمعة ديالو
Are you new to the neighborhood?,واش نتا جديد في الحي؟
we will send it via whatsapp,غانرسلو فواتس أوتساب
i need to see how much she has,خاصني نشوف شحال عندها
he told you yes,قال ليك إيه
What do you want to do?,شنو بغيتي نديرو؟
I'm learning traditional sewing.,كنقرا الخياطة التقليدية.
tell em exactly what happened,ڭول ليا أش وقع بالضبط
Don't take it out in me,بلا ما تخرجو فيا
they bought me a jabador,شريو ليا جابور
this is the best juice i've had so far,هادي أحسن عصير لي عشتو حتى دابا
i need to shpower,خاصني نترجع
last time i do similar things,آخر مرة درت شي حاجة بحال هاداك
i will revise for the exam,أنا غادي نعاود ليك لامتحان
i will not be active on class,ماغاديش ن دير ف الصف
Why don't you want to apply the law,علاش مابغيتيش تطبق داك القانون
I see a lot,كانشوف بزاف
i will hit him today,أنا غادي نضربو اليوم
remember whe nwe stayed home,عتاف ليك شكون بقاو فدار
 I'm algerian,أنا الجزائرية
maybe my sis came,إمكان ختي جات
what do you do here,أش كادير هنا
it's good that you came,مزيان جئت
I like listening to you,كايعجبني نسمعك
we found 1000,لقينا 1000
whomever knows this,لي عارف هادشي
ok ask for me please,واخا عفاك نسول ليا
i miss you ,تشتفتك
i send message and it goes,أنا كانرسّل ليكساج و كايمشي
look at me,شوفي ليا
"You will do good to some people, but they will show you arrogance. ",غادي ت دير لشي ناس خير ولكن غادي يظهر ليك ليك الكبرياء
did i forgot something else,واش نسيت شي حاجة أخرى
this way you shortened distance for me,هادشي راه لي قصرتي عليا
Cooked you everything you like,طبيت ليك كلشي لي كاتعجبك
I'm waiting for you besire the school,كانتسنّا فيك ت تقبّل ليك المدرسة
Why don't you want to get along in the vilage,علاش مابغيتيش تمتاز معا فالبلاد
please could you just sear the beef in a pan and put it on to slow roast,عفاك إمكنك ت سخّن لحم ديال البقري ف واحد الخلاية و تلبسّه على الحمّا
fill the form,عاوتان هاد فورم
definitely chocolate cake,بلا شك كيك ديال الشوكلات
today you can show me how to do nothing but sit by the pool the whole day,اليوم تقدر ت دريني كيفاش ندير شي حاجة غير نجلس عند البيسين نهار كامل
what is the strangest coincidence that ever happened to you?,شنو أكتر صدفة غريبة وقعتي ليك؟
i think of supporting this initiative,تانفكّر واش ندعم هاد البداية
they cut off electricity,قطعو الكهرباء
if you like something there take it,إيلا عجبك شي حاجة خديها
