Original English,tgt,src
i miss home food,غادي غادي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,"it's a dial, a dial, a dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial"
they catched the thief,راهم لسارق,he is a thief
we have economical issues,عندنا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,we have a dial to the dial to the dial to the dial
How are you doing?,كيف حالك؟,how are you?
be good with me,راهين معي,be my guest
why you dont wanna travel this year,علاش مابغيتيش تسافري هاد العام,Why don't you want to travel this year
i had enough,كان عندي ما فيه الكفاية,i had enough
we wil split on three groups,غادي نفتا على ثلاث مجموعات,i'm out of three groups
can you share your perspective on the referee's decisions during the match?,يمكنك أن تشارك وجهة نظرك على قرارات الحكمية خلال المباراة؟,Can you share your view on judgment decisions during the match?
i dont think he will quote me,مانضنشش غادي يقتبس مني,I don't think he will quote me
we'll end up there,غادي نخينّا هادشي,i'm gonna rat us out
are you married or not,راه تزوّج أو ماشي,he is married or not
she told meto answer,فطلبت مني أن أجاوب,she asked me to answer
like nothing,واش ماشي,what's wrong
hurry up,على رسلك,take it easy
"OK, I'm outta here",حسنا، أنا خارج هنا,"Well, I'm out of here"
you should never leave the dog intied,مابغيتيش تتركي الكلب واش,You don't want to leave the dog
you are too late to put  down the phone,بزّاف بزّاف باش تخلّص تليفون.,It's too late to get rid of the phone.
tomorrow,غادي,it's gonna be okay
some people won't like this,بعض الناس مانحبو هادشي,Some people are trying to help me
if you want something i'm here for you,مابغيتيش شي شي شي هاد هنا من اجلك,I don't want to do this for you
you killed me with hunger,قتلتني بجوع,you killed me with hunger
they have,عندهم,they have
who do you think you are,واش تحسبك هادشي,don't think you're a good person
if only i found a job,كون غير قدرت نوجد عمل,if only I could find work
dont let them ,مابغيتيش مايتركو,You don't want to do what you do
can you explain how I do this piece of work please?,واش تفسّر ليا هاد القطعة من العمل من فضلك؟,Why are you explaining this piece of work please?
they gave me his address,عطوني ليا ديال ديال ديال ديال ديال ديال ديال,"give me a dial, dial, dial, dial"
can I rent a room or book a bar?,يُمْكِنُ أَنْ يُؤجّرَ غُرّة أَو يُديرُ بارّ؟,can he rent outside or run a bar?
he brought a shovel,راه باش بزّاف,it's too much
good thanks,شكّر بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,Thank you very much for the increase in the increase in the increase in the increase in the increase in the amount of the increase in the amount of the increase in the amount of the increase in the amount of the increase in the amount of the cost
you were gonna expose me,كنت ستفضحني,You were gonna expose me
why you dont wanna invite him,علاش مابغيتيش تدعوه,Why dont you want to call him
I'd like to visit Hawaii.,أود أن نزور هاواي,I'd like to visit Hawaii
You don't want to stand out,مابغيتيش ندير,you don't want to do
no problem,ماشيش مشكلة,Don't be a problem
do you wish to have a twin room?,واش تمنّي تا غادي تاين غادي؟,do you wish i will do what i will do
who brought him here,من جلبه هنا؟,Who brought him here?
no one could win,ما من أحد يستطيع أن يربح,no one can win
they got the same major,عندهم نفس المادّة,they have the same material
he is not a man,ماكانش رجل,he wasn't a man
I'm thinking if i should finish my homework,أنا كُنْتُ نُفكّرُ إذا أنا يَجِبُ أَنْ تُنهي فروضي,i was thinking if i have to finish my homework
My hands are a bit too arthritic now for making music but my grandson does visit and play for me sometimes,يداّايّ كانتا غير حادّة بزّاف بزّاف بزّاف ديال الموسيقى لكن حفيدي يزوّر ويلعب ليا في بعض الأحيان,"My hands were too sharp for music, but my granddaughter made up and played for me sometimes"
I love parties!,أنا أحب الحفلات!,I like parties!
i will do nothing bad,أنا غادي ندير ماشيشي حاجة,i'm gonna do what i want
he cut himself when he was shaving,قطع نفسه عندم كان يحلق,he cut himself when he was flying
That's surprising!,هاد المفاجأة!,this is a surprise!
agadir is cold,غادير بارد,he's cold
we like to be like him,نرغب أن نكون مثله,we want to be like him
Are you going to take the car on your way out?,هل ستأخذي السيارة في طريق خروجك؟,will you take the car on your way out?
I dare you to not  slide in snow,تحداك أن لا تنزلق في الثلج,I dare you not to slide in the snow
how was your weekend?,كيف كانت عطلتك؟,How was your vacation?
He is married to a lawyer in Tangier.,هو متزوج من محامي في طنجة,he's married to a lawyer in Tangier
jump a line,قافز ليا خطا,Jump me wrong
that volcano will errupt,راه راه راه راه هادشي,"that's it, that's it"
this place is no good,هاد المكان غير صالح,this place is not good
Have you tried give back the money you borrowed,عندك جرّبت نردّي ليا المال ديال ديالك,i tried to pay you money
Are there chickens there too?,هادشي ديال ديال هادشي؟,Is this a good day?
i'm at my uncle funeral,أنا عند موتة عمّي,i'm at my uncle's death
is that it?,هادشي هادشي؟,is that what this is?
i have no effort,ماعندي جهد,i have no effort
we need to make sure,مانحتاجه نتاكد,We don't need to be sure
we meet at university,إلتقينا في الجامعة,we met in college
what are you talking about?!,ماالذي تتحدثون عنه؟,What are you talking about?
I know I'm really amazing.,أنا أعرف أنا بزّاف جدا.,I know I'm too much.
you should never revise before exam,مابغيتيش تراجعي قبل إمتحان,You don't want to go back before the exam
yes straight,هادشي باش بزّاف,this is too much
lets go back to home,غادي نرجع ديال ديال ديارك,I'm gonna go home
How unfortunate!,يالسوء الحظ!,what a shame!
come with me,تاتي معي,you come with me
not the same,واش بزاف,It's too late
a band thief robbed,سارق سارق,"robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers, robbers,"
